#<qhat> <qhatL^2> <qhatL^3> <L> <T> <T^2> <ehat>
0.0179942 6.43709 48.9321 30.3678 0.251444 0.0707285 0.0538118
0.0016645 0.522511 8.18131 28.4264 0.258004 0.0747339 0.00484134
0.0158369 6.69258 50.8743 32.7882 0.259316 0.0754436 0.0459378
0.00250396 0.437331 5.17605 21.5772 0.252646 0.0714037 0.00738508
0.00568204 1.05567 8.02481 17.2554 0.186778 0.0358252 0.0279185
0.00110233 0.832581 22.3393 35.7824 0.199937 0.0412216 0.00499401
0.012777 1.74454 13.2613 18.765 0.251493 0.0703278 0.0383653
0.00525335 3.15324 68.1421 37.7052 0.260897 0.0758581 0.0155626
0.0025241 0.999307 7.59633 31.6825 0.254701 0.0725986 0.00749478
0.00182849 0.547387 8.42373 27.802 0.256075 0.0735189 0.00536116
0.00486362 4.3118 32.7766 43.0283 0.241584 0.06322 0.0165315
0.00466811 0.395175 3.51062 13.4103 0.2215 0.0524119 0.017431
0.0172235 2.14224 16.2844 17.8718 0.254985 0.0724508 0.0509189
0.00905277 5.35599 117.593 38.4053 0.25322 0.071602 0.0272139
0.00142987 1.06221 8.07449 40.2234 0.22489 0.0543346 0.00521003
0.00113138 0.084878 0.720861 12.1118 0.212628 0.0476654 0.00455587
0.0016643 0.286507 2.17791 20.9497 0.244788 0.0663089 0.00518506
0.0186743 11.3095 251.415 37.6074 0.251847 0.0702391 0.0578907
0.00205867 2.7559 20.9493 49.3371 0.223741 0.0526439 0.0080242
0.00101599 0.0231808 0.109151 5.76055 0.190701 0.0371425 0.00501161
0.0115155 9.86298 74.9744 43.713 0.255935 0.0722476 0.0356955
0.0107165 0.735163 5.56385 12.624 0.242605 0.0641275 0.0349704
0.013608 2.77128 21.0662 22.6249 0.240021 0.0635263 0.0434818
0.00523926 2.92689 62.9083 36.2965 0.24874 0.0684122 0.0164365
0.00247907 0.23502 1.78653 15.2037 0.241365 0.0638554 0.00799693
0.00246213 1.83907 46.7727 42.0455 0.242869 0.0650317 0.00793065
0.0203122 4.45672 33.8782 24.0971 0.263475 0.0783112 0.0569852
0.013998 5.42715 94.4611 31.9142 0.257762 0.0747904 0.0403797
0.00531793 1.7448 13.2632 28.1991 0.238634 0.0625172 0.0173647
0.0118886 4.81278 93.0618 31.3643 0.232574 0.059252 0.0398496
0.0179706 2.33865 17.7775 18.3503 0.260086 0.0757233 0.0517377
0.00494347 3.19725 72.9054 39.2275 0.25988 0.0753772 0.014681
0.00129214 1.17794 8.9542 37.5501 0.190754 0.0370838 0.00632931
0.00489838 0.181727 1.09655 6.94686 0.177897 0.0320258 0.0265893
0.00747123 1.93835 14.7345 26.2462 0.264943 0.0793238 0.0208218
0.0237544 8.51644 139.588 30.3948 0.265836 0.0797364 0.0665831
0.0118898 5.36423 40.7767 33.1893 0.249278 0.0689486 0.0367025
0.00108414 0.212259 2.82036 22.2677 0.235098 0.0607803 0.00354416
0.0148636 4.06927 30.9329 27.0662 0.252442 0.0715469 0.0436378
0.0222009 7.56299 121.208 29.4186 0.261011 0.0765265 0.0638863
0.023656 11.2884 85.8102 34.2329 0.264798 0.0787064 0.0678333
0.013722 2.80436 34.9613 23.2414 0.261831 0.0771949 0.0388477
0.0157269 4.96477 37.7401 28.6061 0.252093 0.0710996 0.0468283
0.00624322 2.26839 38.1947 30.2914 0.258118 0.074688 0.0182649
0.0114689 4.64227 35.2886 31.6186 0.240413 0.063776 0.0367849
0.0011422 0.215737 2.85117 21.5689 0.230002 0.0577852 0.00386996
0.02017 11.8148 89.811 37.9646 0.252509 0.0710969 0.0610824
0.00353982 0.518303 5.51924 19.5379 0.257127 0.0739483 0.0103176
0.00899692 3.99821 30.3928 33.141 0.260572 0.0761078 0.0262357
0.00984654 2.46845 34.6412 25.6552 0.257224 0.0743266 0.0285193
0.0113313 12.3059 93.5444 47.6564 0.232366 0.0580897 0.0402905
0.000814617 0.0300212 0.177717 8.17731 0.212145 0.0470493 0.0033743
0.0223212 7.49856 57.001 29.2425 0.266149 0.0799104 0.0627205
0.00484448 1.6284 26.0292 29.4103 0.264912 0.0791813 0.0136521
0.0101236 5.9949 45.5708 37.5844 0.262995 0.0774035 0.0295948
0.00210313 0.338089 3.71979 20.6109 0.261929 0.0771645 0.00596414
0.00454501 3.01687 22.9331 39.4281 0.261227 0.0760091 0.0135039
0.0183938 2.15033 20.6498 17.2235 0.253681 0.0714878 0.0549989
0.00181819 0.122166 0.928658 11.9663 0.225115 0.0541408 0.00668024
0.00649054 6.60741 198.511 46.1967 0.235136 0.0597362 0.0227254
0.0185976 5.47868 41.6467 27.801 0.265676 0.0797675 0.0518246
0.00291891 0.975186 15.4428 29.4791 0.266608 0.0803023 0.00813857
0.00775597 2.96748 22.5576 31.3727 0.259909 0.0760139 0.0223456
0.00279082 0.797944 11.7354 27.2474 0.263821 0.0785003 0.00787965
0.019647 15.1839 115.422 41.994 0.258381 0.0739878 0.0596705
0.0164911 1.38889 11.507 14.2868 0.247974 0.0675558 0.0516112
0.0156774 10.9032 82.882 40.1155 0.261025 0.0758866 0.0467708
0.0200035 2.41195 23.0257 17.6526 0.258204 0.0745187 0.0580917
0.00668114 0.162688 1.23669 6.20033 0.201668 0.0419211 0.0303251
0.00868978 11.705 383.611 50.8058 0.237321 0.0600812 0.0310879
0.00283847 0.750537 5.70528 25.3064 0.231709 0.0586293 0.00959505
0.0010283 0.34254 6.13033 28.4664 0.2249 0.055071 0.00358574
0.00266736 1.01072 7.6831 31.555 0.264508 0.0789965 0.00747978
0.0180885 3.60697 44.0522 23.1454 0.26342 0.0783305 0.0505176
0.0203947 12.2286 92.9568 37.6089 0.260926 0.0758874 0.0604413
0.00249257 0.367371 3.99253 19.6077 0.252217 0.0708997 0.00743435
0.00338731 0.864434 6.57108 26.3118 0.260231 0.076498 0.00956314
0.00571999 1.83858 28.5115 29.0187 0.26518 0.0793907 0.0160041
0.00536864 0.797011 6.05855 19.4132 0.244444 0.0660761 0.0167633
0.00150475 0.757212 15.8815 35.869 0.241076 0.0645082 0.00474667
0.0119489 1.67802 12.7557 18.231 0.231722 0.0583811 0.0407284
0.00116679 0.781988 19.615 39.5438 0.229718 0.0574757 0.0040323
0.00739822 5.8102 44.1668 42.8082 0.237459 0.0617902 0.0245939
0.00292505 0.240742 2.05909 13.7342 0.233308 0.0589237 0.0100432
0.0113882 18.8381 143.199 52.3462 0.220078 0.0504021 0.046525
0.00398539 0.0837222 0.377504 5.395 0.187133 0.0356248 0.0202483
0.00453797 0.436533 3.31835 15.107 0.233399 0.0592934 0.0153444
0.00826576 5.47146 125.144 39.1306 0.250217 0.0690153 0.0259543
